Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,1000,24181.7,24.1817,4.34651,0.0434783,1.49792,0.1149,0,0,543.478,130.435,152.174,65.2174,43.4783,65.2174,17
BR,1,1000,23045,23.045,4.33202,0.0434783,1.23085,0.114899,0,0,478.261,195.652,130.435,86.9565,21.7391,86.9565,19
BR,1,1000,23864.1,23.8641,4.33136,0.0434783,1.2837,0.114899,0,0,521.739,195.652,43.4783,65.2174,108.696,65.2174,21
BR,1,1000,22891.7,22.8917,4.33333,0.0434783,1.44153,0.114896,0,0,500,130.435,152.174,108.696,65.2174,43.4783,22
BR,1,1000,25796.9,25.7969,4.35178,0.0434783,1.50823,0.114898,0,0,608.696,130.435,86.9565,65.2174,21.7391,86.9565,20
BR,1,1000,26309.1,26.3091,4.3498,0.0434783,1.43961,0.114899,0,0,652.174,86.9565,65.2174,65.2174,21.7391,108.696,23
BR,1,1000,28253.4,28.2534,6.51121,0.0652174,1.31126,0.114899,0,0,717.391,86.9565,43.4783,21.7391,65.2174,65.2174,24
BR,1,1000,25437.2,25.4372,0,0,1.34,0,0,0,586.957,152.174,65.2174,86.9565,43.4783,65.2174,25
BR,1,1000,21927,21.927,6.52832,0.0652174,1.41439,0.114899,0,0,500,86.9565,130.435,65.2174,108.696,108.696,26
BR,1,1000,21738.3,21.7383,6.51318,0.0652174,1.40028,0.114898,0,0,500,65.2174,152.174,108.696,86.9565,86.9565,27
BR,1,1000,26529.1,26.5291,2.16765,0.0217391,1.22535,0.114898,0,0,630.435,130.435,86.9565,65.2174,21.7391,65.2174,28
BR,1,1000,24458.9,24.4589,4.3353,0.0434783,1.32937,0.114899,0,0,565.217,130.435,86.9565,86.9565,43.4783,86.9565,29
BR,1,1000,23353.1,23.3531,2.18248,0.0217391,1.36846,0.1149,0,0,521.739,108.696,195.652,43.4783,86.9565,43.4783,30
